,,,,,,Maintenance,,,,Commissioning,,,xxxx,,Cancelled due to Machine problem,,xxxxx,rescheduled due to machine pb,,,,,,USER Rescheduled,,
,,,,,,Study,,,,Available,,,xxxx,,Cancelled due to beam line problem ,,xxxxx,rescheduled due to beamline problem pb,,,,,,User did not finish,,
,,,,,,,,,,Proprietary,,,,Reserved for groups with MANY Crystals,,,,,,,,,,User Cancelled,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,MONTH,DATE,WeekDay,Operation,,AMX morning,Local,AMX afternoon,Local,AMX overnight,Local,,FMX morning,Local ,FMX afternoon,Local ,FMX overnight,Local ,,NYX morning,Local,NYX afternoon,Local,NYX overnight,Local,DATE
,,5,Mon,S/O,,BLC,,,,,,,BLC,,,,,,,,,,,,,5
,,6,Tue,O,,,AS,,AS,,,,,WS,,WS,,,,,,,,,,6
,,7,Wed,O,,,EL,,EL,,,,BAG 308291,BA,BAG 308291,BA,,,,,,,,,,7
,,8,Thur,O,,,DK,,DK,,,,,MF,BAG 306386,MF,,,,,,,,,,8
,,9,Fri,O,,BAG 305133,AS,,AS,,,,BAG 305987,WS,BAG 305987,WS,,,,,,,,,,9
,,10,Sat,O,,BAG 305133 (backup),AS,,AS,,,,PR 303851,MF,PR 303851,MF,,,,,,,,,,10
,,11,Sun,O,,,,, ,,,,PR 303851,MF,PR 303851,MF,,,,,,,,,,11
,,12,Mon,O,,GU 306367,EL,,EL,,,,BAG 308246,WS,BAG 308246,WS,,,,,,,,,,12
,,13,Tue,O/M,,,,VPN Connection Test,,,,,,,VPN Connection Test,,,,,,,,,,,13
,,14,Wed,M/S,,,,,,,,,,,,,,,,,,,,,,14
,,15,Thur,S/O,,BLC,,Live ConnectionTraining,,,,,BLC,,Live ConnectionTraining,,,,,,,,,,,15
,,16,Fri,O,,BAG 308291,DK,BAG 308291(?),DK,,,,PR 303851,BA,,BA,,,,,,,,,,16
,,17,Sat,O,,,JJ,,JJ,,,,,BA,,BA,,,,,,,,,,17
,,18,Sun,O,,,JJ,,JJ,,,,,BA,,BA,,,,,,,,,,18
,,19,Mon,O,,BAG 308392,AS,,AS,,,,BAG 308552,WS,BAG 308552,WS,BAG 308552,WS,,,,,,,,19
,,20,Tue,O,,,AS,,AS,,,,bluesky/ophyd,JA,PR 303851,BA,PR 303851,BA,,,,,,,,20
,,21,Wed,O,,BLC,,,EL,,,,PR 303851,AS,PR 303851,AS,PR 303851,AS,,,,,,,,21
,,22,Thu,O,,,DK,,DK,,,,BAG 307708,WS,PR 305587,WS,PR 305587,WS,,GU 306329,,,,,,22
