,,,,,,Maintenance,,,,Commissioning,,,xxxx,,Cancelled due to Machine problem,,xxxxx,rescheduled due to machine pb,,,,,,USER Rescheduled,,,,,
,,,,,,Study,,,,Available,,,xxxx,,Cancelled due to beam line problem ,,xxxxx,rescheduled due to beamline problem pb,,,,,,User did not finish,,,,,
,,,,,,,,,,Proprietary,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MONTH,DATE,WeekDay,Operation,,AMX morning,Local,AMX afternoon,Local,AMX overnight,Local,,FMX morning,,FMX afternoon,,FMX overnight,,,NYX morning,,NYX afternoon,,NYX overnight,,DATE,,,
,,28,Sat,S,,,,,,Thanksgiving Holiday,,,,,,,Thanksgiving Holiday,,,,,,,,,28,,,
,,29,Sun,S,,,,,,Thanksgiving Holiday,D,,,,,,Thanksgiving Holiday,,,,,,,,,29,,,
,,30,Mon,S/O,,,,Training New Users 17:00,,,,,,,,,,,,,,,,,,30,,,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MONTH,DATE,WeekDay,Operation,,AMX morning,,AMX afternoon,,AMX overnight,,,FMX morning,,FMX afternoon,,FMX overnight,,,NYX morning,,NYX afternoon,,NYX overnight,,DATE,,,
,,,,,,9 am - 3 pm,,4 pm -10 pm,,10 pm - 7 am,,,9 am - 3 pm,,4 pm -10 pm,,10 pm - 7 am,,,9 am-3 pm,,4 pm-10 pm,,10 pm - 7 am,,,,,
,DECEMBER,1,Tue,O,,BAG305000,JJ,BAG 305044,JJ,BAG 305044,JJ,,BAG 305421 /GU 305069,WS,BAG 305421/BAG 305046,WS,BAG 305046,,,,,,,,,1,,,
,,2,Wed,O,,,,BAG 305987,AS,BAG 305987,AS,,PR 303851 ,MF,BAG 305036,MF,BAG 305036,,,,,,,,,2,,,
,,3,Thur,O,,PR 306522,EL,PR305476,EL,,,,,,,,,,,,,,,,,3,,,
,,4,Fri,O,,BAG 305018,DK,BAG 305018,DK,,,,BAG 305002,BA,GU 306268,AS,,,,,,,,,,4,,,
,,5,Sat,O,,BAG 305042,VS,BAG 305042,VS,BAG 305042,VS,,BAG 305000-BA,BA,BAG 305000-BA,BA,,,,,,,,,,5,,,
,,6,Sun,O,,BAG 305000-AS,AS,BAG 305000-AS,AS,,,,BAG 305046,WS,BAG 305046,WS,,,,,,,,,,6,,,
,,7,Mon,O,,BAG 307344,VS,BAG 305598,VS,BAG 305598,VS,,BAG 304983,BA,BAG 304983,BA,BAG 304983,,,,,,,,,7,,,
,,8,Tue,O/M,,annealer,EL,top-view tweak,EL,,,,annealer,,Connection Test start at 14:00,,,,,,,,,,,8,,,
,,9,Wed,M/S,,,,CBMS Lecture Series - Sandra Gabelli - Sulphur SAD,,,Dewar,,,,CBMS Lecture Series - Sandra Gabelli - Sulphur SAD,,,Dewar,,,,,,,,9,,,
,,10,Thu,S/O,,BAG 305000 - FDA,EL,BAG 305034 to start at 5:00 pm,EL,BAG 305034,EL,,BAG 305000-BA,BA,BAG 305000-BA,BA,BAG 305000-BA,BA,,,,,,,,10,,,
,,11,Fri,O,,GU 306019,VS,BAG 306386,VS,BAG 306386,VS,,PR 303851 / PR 306524 ,AS,PR 303851,AS,PR 303581,AS,,GU 306268,,,,,,11,,,
,,12,Sat,O,,SPP-PR 307505,JJ,GU 306108,JJ,GU 306108,JJ,,PR 303851,MF,,MF,,MF,,BAG 305598,,,,,,12,,,
,,13,Sun,O,,PR 308082,JJ,,,,,,BAG 305000-BA,BA,BAG 305000-BA,BA,,,,,,,,,,13,,,
,,14,Mon,O,,BAG 306544,AS,GU 305642,AS,GU305642,AS,,GU 306409,WS,BAG305000,WS,BAG305000,WS,,,,,,,,14,,,
,,15,Tue,O,,PR 303851 / PR 308027,EL,PR 303851,EL,PR 303851,EL,,BAG 305018,BA,BAG 305421,BA,BAG 305421,BA,,,,,,,,15,,,
,,16,Wed,O,,BAG 305007,AS,BAG 305046,AS,BAG 305046,AS,,BAG 305036(9:00am-12:00noon)/BAG 305013,WS,BAG 305037(start 1:00pm),WS,BAG 305037,WS,,NYSBC,,NYSBC,,NYSBC,,16,,,
,,17,Thur,O,,BAG 305007,JJ,PR 308082 - Industry WShop (2-4:30),,,,,BAG 305040,MF,,,,,,NYSBC,,NYSBC,,NYSBC,,17,,,15
,,18,Fri,O/S,,,,,,,,,,,,,,,,,,,,,,18,,,
,,19,Sat,S,,,,,,,,,,,,,,,,,,,,,,19,,,
,,20,Sun,S,,,,,,,,,,,,,,,,,,,,,,20,,,
,,21,Mon,S/M,,,,sam pin check,,,,,,,,,,,,,,,,,,21,,,
,,22,Tue,M,,,,,,,,,,,,,,,,,,,,,,22,,,
,,23,Wed,M,,,,,,,,,,,,,,,,,,,,,,23,,,
,,24,Thur,M,,,,,,,,,,,,,,,,,,,,,,24,,,
,,25,Fri,M,,,,,,,,,,,,,,,,,,,,,,25,,,
,,26,Sat,M,,,,,,,,,,,,,,,,,,,,,,26,,,
,,27,Sun,M,,,,,,,,,,,,,,,,,,,,,,27,,,
,,28,Mon,M,,,,,,,,,,,,,,,,,,,,,,28,,,
,,29,Tue,M,,,,,,,,,,,,,,,,,,,,,,29,,,
,,30,Wed,M,,,,,,,,,,,,,,,,,,,,,,30,,,
,,31,Thu,M,,,,,,,,,,,,,,,,,,,,,,31,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Shifts,,,,,,,,,,,,,,,,,,,,
,,,,,,Cycle,,COVID - ext,,COVID- int,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,,31.25,,22.5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,,39,,13.5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,,4,,19,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Commissioning ,,17,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Total #shifts available for operation,,138,,shifts,,,,,Total #shifts available for operation,,138,shifts,,,,requested shifts ~182,,,,,,,,,
,,,,Operation/BL time,,58,,shits,42%,,,,Operation/BL time,,64,shifts,46%,,,,,,,,,,,,
,,,,Proprietary,,15,,shifts,11%,,,,Proprietary,,12,shifts,9%,,,available for academics,~127,,,,,,,,
,,,,Academic,,65,,shifts,47%,,,,Academic,,62,shifts,45%,,,,,,,,,,,,
,IF ADDING ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Blocked overnight shifts,,Academic,73,shitts,53%,,,,Blocked overnight shifts,,8,shifts,53%,,,,,,,,,,,,
,,,,DT+development shifts,,Academic,79,shitts,57%,,,,DT+development shifts,,9,shifts,57%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,REDUCING COMMISSIONING/In House at START UP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Academic,88,,64%,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,INCLUDING FLEX TIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Academic,94,,68%,,,,,,,,,,,,,,,,,,,,
