,Date,Mounts
255,20191214,7
256,20191202,37
257,20210210,90
258,20171003,61
259,20200909,97
260,20180220,135
261,20210718,71
262,20200403,20
263,20200118,102
264,20180517,95
265,20191125,87
266,20181130,71
267,20190810,246
268,20180302,41
269,20200221,121
270,20210514,22
271,20171013,16
272,20190208,24
273,20190923,47
274,20200126,5
275,20180929,73
276,20210205,91
277,20200730,18
278,20181025,54
279,20201216_EL,64
280,20210221,83
281,20200201,105
282,20200204,39
283,20180312,22
284,20200928,15
285,20181109,117
286,20200829,154
287,20190917,140
288,20200214,71
289,20200819,157
290,20201029,57
291,20200312,135
292,20170911,73
293,20181023,46
294,20200821,99
295,20200203,114
296,20170816,72
297,20190228,50
298,20201121,61
299,20200206,116
300,20190313,71
301,20190416,8
302,20180829,18
303,20180629,124
304,20191016,92
305,20210302,30
306,20180725,31
307,20190919,102
308,20180718,29
309,20180516,149
310,20210129,11
311,20200327,82
312,20180221,6
313,20210311,33
314,20200508,78
315,20170915,95
316,20180407,102
317,20201205,59
318,20190418,41
319,20190618,62
320,20201123,32
321,20191108,60
322,20201104,36
323,20210204,43
324,20210709,73
325,20210727,92
326,20200710,78
327,20180810,34
328,20201110,80
329,20180412,59
330,20190606,71
331,20201119,46
332,20201117,36
333,20181031,59
334,20191103,5
335,20201208,36
336,20180514,88
337,20210220,54
338,20200212,146
339,20191010,65
340,20181129,56
341,20201215,160
342,20181126,55
343,20181112,66
344,20191030,74
345,20191101,53
346,20190513,29
347,20210710,51
348,20171024,94
349,20181119,109
350,20200526,15
351,20180215,28
352,20180621,16
353,20180120,96
354,20170825,123
355,20200215,109
356,20180128,96
357,20181127,88
358,20181211,45
359,20200520,24
360,20181024,104
361,20210429,24
362,20191213,201
363,20180119,147
364,20190925,123
365,20181114,96
366,20210208,111
367,20180912,223
368,20181029,10
369,20191017,194
370,20191122,121
371,20180327,67
372,20180522,74
373,20190401,72
374,20171129,43
375,20210730,212
376,20200122,105
377,20180315,93
378,20180716,83
379,20190131,47
380,20201210,94
381,20191025,90
382,20190614,42
383,20190523,153
384,20181020,27
385,20190529,59
386,20210712,53
387,20171012,5
388,20210310,9
389,20180612,98
390,20190322,177
391,20191105,87
392,20191126,104
393,20200827,62
394,20201025,53
395,20210810,85
396,20210615,69
397,20180131,16
398,20180814,99
399,20200728,84
400,20210301,75
401,20180523,25
402,20190813,75
403,20180802,108
404,20171103,73
405,20180913,47
406,20180406,110
407,20200227,51
408,20190920,227
409,20171109,50
410,20191114,69
411,20190205,191
412,20200320,65
413,20190620,107
414,20171118,99
415,20171107,64
416,20210519,2
417,20180727,53
418,20210722,6
419,20181213,52
420,20190427,79
421,20191208,2
422,20190404,138
423,20191127,68
424,20180418,99
425,20200910,100
426,20190522,41
427,20200830,162
428,20181212,43
429,20190206,119
430,20170828,86
431,20200720,79
432,20200205,45
433,20180210,49
434,20200825,16
435,20180116,110
436,20200902,189
437,20180323,71
438,20200220,4
439,20170829,190
440,20190802,235
441,20190816,121
442,20181004,131
443,20181107,77
444,20210226,142
445,20181210,79
446,20180416,87
447,20201214,133
448,20180713,13
449,20180626,71
450,20200409,3
451,20190220,82
452,20190811,35
453,20200813,5
454,20190307,86
455,20200901,88
456,20210604,58
457,20200602,25
458,20190817,74
459,20171104,48
460,20190916,90
461,20200226,105
462,20190801,167
463,20190821,70
464,20210218,60
465,20201124,44
466,20191111,25
467,20200306,170
468,20210323,124
469,20201207,74
470,20200826,92
471,20201109,111
472,20181116,26
473,20200801,132
474,20190304,18
475,20201027,9
476,20180305,20
477,20200807,12
478,20201120,201
479,20200416,22
480,20201116,93
481,20200415,11
482,20190328,72
483,20200609,29
484,20190510,123
485,20181208,26
486,20210211,120
487,20180728,31
488,20170824,135
489,20180405,84
490,20200314,145
491,20200116,37
492,20210303,80
493,20171113,151
